,职位名称,招聘部门,薪资,地区,工作经验,学历,工作性质,职位诱惑,职位描述,工作地址,公司信息
20,自然语言处理工程师/专家,转转AI技术部招聘,30k-60k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
六险一金,弹性工作,成长空间大,薪酬高","
工作职责
致力于自然语言处理方面的研发工作，解决转转二手交易产品中的实际问题。
职位要求
1.重点院校本科及以上学历
2. 熟练掌握自然语言处理领域的基础理论和方法，并有丰富的相关方向的研究经验；
3. 在一个或多个领域有深入研究：命名实体识别、句法分析、信息抽取、知识图谱、主题词识别、自动摘要、智能问答、语义理解、语义计算等。
4.熟练掌C/C++、Python/Scalar/Java等语言编程、及数据结构基础算法；
5. 优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情。","北京 - 海淀区 - 西小口路东升科技园
","转转
移动互联网,消费生活
A轮
腾讯(A轮)
500-2000人
http://www.zhuanzhuan.com/"
21,自然语言处理总监,奇点机智招聘,35k-60k,/北京 /,经验10年以上 /,硕士及以上 /,全职,"
股票期权，弹性工作制,一日四餐,扁平化,","
岗位职责：
1、负责自然语言理解（NLU）在人工智能商业领域内，尤其是对话机器人的研发和技术落地；
2、跟踪自然语言理解，对话智能的研究进展，能有效的将其转化为在中文对话智能的提升；
2、负责AI 研发系统的架构设计、关键模块的review、为研发产出、系统质量、线上稳定性负责；
3、参与重大技术项目的决策及方案审核，指导并参与核心代码的书写；
4、有效带领技术团队，监督及指导技术部门的工作，建立并完善公司各项研发规范及流程；
  岗位要求：
0、热衷于智能对话交互在各行业的应用；
0、对自然语言理解有浓厚的兴趣；
0、对程序语言设计，系统设计有有品位的追求；
0、有出众的理解，分析和总结问题的能力，能从繁杂中抽象出简单；
0、有良好的基于同理心的沟通能力；
1、硕士及以上学历，10年以上NLU技术开发经验，5年以上架构师的经验，有B端客户项目经验；
2、精通多种c++/python/golang/java。具有扎实的编程及设计功底，能快速上手新语言以及新环境；
3、基本功扎实，能解决难题。精通数据结构，算法，系统，网络，存储，分布式计算，数据库，etc；
4、具备较好的研发过程管理，包括进度安排和控制、风险控制、质量管理、配置管理等；","北京 - 海淀区 - 五道口 - 中关村成府路45号智造大街F座
","奇点机智
移动互联网
A轮
真格基金徐小平老师(天使轮)
15-50人
http://www.naturali.io"
22,自然语言处理工程师,联想集团招聘,23k-46k,/北京 /,经验不限 /,硕士及以上 /,全职,"
带薪年假、发展前景、AI、前瞻领域","
职责
1. 结合实际业务需求与数据，研发高效、可靠的NLP解决方案
2. 研发对话意图理解，实体抽取，指代消解等相关技术
3. 紧跟自然语言处理前沿算法和技术，推动在其在工作领域内落地。



技能
1.  自然语言处理、机器学习等相关硕士及以上，3～5年相关工作经验；
2.  较强的算法基础和编码能力，熟练掌握C++，Python，Java等一门或多门语言；
3.  熟悉Linux环境开发；至少熟练使用一种深度学习框架，如Tensorflow， Pytorch，Keras等； 
4.  熟悉常用的自然语言算法，如词向量、LDA、CRF等；熟悉深度学习相关算法模型，如CNN，LSTM，Attention，Transformer等； 
5.  有文本分类、情感分析、舆情分析、智能客服等实际工作经验者优先； 
6.  有较强的研究能力优先，如在领域顶级会议如ACL、EMNLP、NAACL等发表过高质量论文； 
7. 有良好的团队合作和沟通能力


工作年限/项目经验
3年","北京 - 海淀区 - 西二旗 - 联想总部（西北旺东路10号院2号楼）
","联想集团
移动互联网,数据服务
上市公司
2000人以上
http://www.lenovo.com"
23,自然语言处理工程师,北大方正信产集团招聘,20k-25k,/北京 /,经验1-3年 /,硕士及以上 /,全职,"
团队背景好,学习氛围浓,地理位置佳,博士后站","
应用场景：
1.科技期刊以及图书领域：形成高质量的，细颗粒度的科技期刊知识、图书画像。通过内容分析引擎自动构建专业领域内的知识关联关系。通过可视化界面立体展示各种知识，知识点细节。
2.出版领域：自动化构建专业领域知识库，人机交互等应用。
3.媒体与互联网大数据领域：构建开放域及特定领域的知识库，辅助用户精确检索、人物跟踪、案例分析等。
岗位职责：
科技期刊及图书知识服务、媒体大数据分析、以及人机交互方向的文本信息处理，算法设计，核心代码编写
任职要求：
1、全日制硕士及以上学历，计算机或电子相关专业；
2、有自然语言处理方面的研究和开发经验；
3、熟悉C，Java或Python等至少一门编程语言；
4、协助项目经理或课题负责人对领域文本的信息抽取与分类，以及媒体大数据分析方面进行研究和开发。","北京 - 海淀区 - 中关村 - 成府路298号方正大厦
","北大方正信产集团
移动互联网,硬件
上市公司
2000人以上
www.founderit.com"
24,高级自然语言处理工程师,省钱快报招聘,25k-50k,/北京 /,经验3-5年 /,硕士及以上 /,全职,"
成长空间、技能提升、免费三餐","

1、负责自然语言处理/机器学习相关的工作，包括但不限于语义理解、信息抽取、文本分类、命名实体识别、句法分析等；
2、负责搜索方向分词、查询词重要度计算、搜索意图识别，同义词挖掘与应用，query改写等查询分析效果改进工作；
3、参与智能问答系统、个性化人机交互中自然语言处理、人工智能方向的技术研发；

岗位要求：
1.计算机相关专业本科及以上学历；
2.在自然语言处理、信息检索、模式识别等领域有较好的研究经历；
3.具备较好的Java或C++开发能力；具备较好的算法基础，逻辑归纳能力强；
4.有工作热情，沟通能力较好，团队意识强。","北京 - 东城区 - 雍和宫 - 东安定门内国子监箭厂胡同22号雍和别墅
","省钱快报
移动互联网,电商
C轮
钟鼎创投、晨兴资本、中国平安(B轮)，晨兴资本(A轮)，好未来(天使轮)
150-500人
http://www.ibantang.com"
25,自然语言处理工程师,誉存科技数据部招聘,10k-20k,/重庆 /,经验3-5年 /,本科及以上 /,全职,"
学习系统化,行业前三,培养系统化,高激励","
岗位职责：
1、负责对现有现有自然语言处理基础模型调优，包括分词，词性标注，实体识别/抽取，句法分析等；
2、参与文本情感分析，文本分类等任务；
3、参与搭建围绕企业大数据的知识图谱任务。
任职资格：
1、  语言&工具：
Ø  具有良好的编程基础，熟悉python，有一定的项目经验；
Ø  对自然语言处理相关算法有一定理解和实践经验；
Ø  熟悉Linux开发环境；
Ø  熟悉深度学习框架Tensorflow者优先。
2、  经验&能力：
Ø  对自然语言处理感兴趣，在分词，词性标注，实体抽取，文本分类等问题上有实践经验；
Ø  具有良好的数学基础，能快速学习掌握新的模型算法并能应用到相关任务上；
Ø  在自然语言顶级会议或期刊发表论文者优先。","重庆 - 渝北区 - 黄山大道中段53号附2号麒麟座C18楼
","誉存科技
金融
A轮
Pre-A(A轮)
50-150人
http://www.socialcredits.cn"
26,AI Lab工程实习生-自然语言...,字节跳动招聘,4k-8k,/北京 /,经验不限 /,本科及以上 /,实习,"
弹性工作，免费三餐，租房补贴，休闲下午茶","
职位职责：
1、向世界顶尖科学家学习交流机会，除了我们的科学家，我们团队中还有来自国内外名校（如CMU，Berkeley）担任顾问；
2、为人工智能、机器学习前沿研究和落地提供工程支持，工作内容包括数据爬取和挖掘、服务端维护和前端开发等；
3、实习时间至少三个月，工作踏实优秀者有转正机会。

职位要求：
1、扎实的编程基础，熟练使用Linux操作系统，工作细心负责；
2、较快速学习新技术的能力，并能够在较短时间内使用该项新技；
3、熟练掌握数据爬取和挖掘，或者有较多服务端维护经验者优先。","北京 - 海淀区 - 北三环西路43号中航广场1号楼（矮楼）
","字节跳动
文娱丨内容
C轮
2000人以上
http://www.bytedance.com"
27,自然语言处理工程师-全局搜索,小米人工智能与云平台招聘,20k-40k,/北京 /,经验1-3年 /,硕士及以上 /,全职,"
五险一金、弹性工作、双休、团队氛围好","
岗位职责：
1. 基于小米互联网生态，为搜索团队提供NLP相关技术支撑；
2.开展自然语言理解、知识图谱推荐、Query查询分析等研究开发工作；
3. 阅读并跟踪最新研究成果，并应用于诸如新闻事件脉络跟踪、查询词推荐、搜索结果文本特征处理等工作。

岗位要求：
1. 计算机相关专业硕士及以上学历，1年以上工作经验；
2. 精通C++、Java至少一门编程语言，熟悉Python、Shell等脚本语言，熟练使用Linux开发环境；
3.掌握自然语言处理相关技术，深入理解机器学习算法，有深度学习经验者优先；
4. 熟悉Hadoop、Spark等海量数据处理技术，有相关经验者优先；
5. 较强的分析和解决问题能力，自我驱动能力强，良好的团队意识。","北京 - 海淀区 - 清河 - 安宁庄东路72号科利源大厦
","小米
硬件
D轮及以上
2000人以上
http://www.mi.com"
28,自然语言处理工程师,誉存科技数据部招聘,10k-20k,/重庆 /,经验3-5年 /,本科及以上 /,全职,"
学习系统化,行业前三,培养系统化,高激励","
岗位职责：
1、负责对现有现有自然语言处理基础模型调优，包括分词，词性标注，实体识别/抽取，句法分析等；
2、参与文本情感分析，文本分类等任务；
3、参与搭建围绕企业大数据的知识图谱任务。
任职资格：
1、  语言&工具：
Ø  具有良好的编程基础，熟悉python，有一定的项目经验；
Ø  对自然语言处理相关算法有一定理解和实践经验；
Ø  熟悉Linux开发环境；
Ø  熟悉深度学习框架Tensorflow者优先。
2、  经验&能力：
Ø  对自然语言处理感兴趣，在分词，词性标注，实体抽取，文本分类等问题上有实践经验；
Ø  具有良好的数学基础，能快速学习掌握新的模型算法并能应用到相关任务上；
Ø  在自然语言顶级会议或期刊发表论文者优先。","重庆 - 渝北区 - 黄山大道中段53号附2号麒麟座C18楼
","誉存科技
金融
A轮
Pre-A(A轮)
50-150人
http://www.socialcredits.cn"
29,高级算法工程师-NLP方向,拼多多招聘,30k-60k,/上海 /,经验3-5年 /,本科及以上 /,全职,"
技术挑战大,技术氛围好,福利待遇高","
职责描述：
1. 结合业务需求，深入研究拼多多平台上评论相关的算法问题，包括标签挖掘、评论情感分析、评论排序、商品优缺点挖掘等
2. 对分词、文本聚类、情感分析等基础算法进行持续改进，并根据需求将其应用于合适的业务场景
3. 建立健全相关算法的线上评估体系，并尝试通过改进算法来优化用户体验和商户体验

职位要求：
1. 本科以上学历，算法领域3年以上工作经验；
2. 扎实的机器学习/NLP理论基础，在相关领域有算法实践经验(如分词、词性标注、句法分析、短文本聚类、情感分析、实体识别、新词发现等)
3. 技术能力全面，同时具备算法能力和一定的工程能力，能够独立进行算法的调研、评估和线上化；
4. 熟悉常见的大数据开发平台和工具（如Hadoop/Hive/Spark/HBase等）
5. 自我驱动、结果导向，强烈的责任心；
6. 符合以下条件会有加分：
    1. 有评论算法/电商NLP算法的实践经验
    2. 有搜索/广告/推荐领域的算法实践经验","上海 - 长宁区 - 娄山关路533号金虹桥国际中心
","拼多多
电商,移动互联网
上市公司
红杉资本(C轮)，高榕资本，IDG(A轮,B轮)
2000人以上
http://www.pinduoduo.com/"
30,25215S-NLP工程师,陆金所陆金所平台科技中心招聘,15k-30k,/上海 /,经验1-3年 /,硕士及以上 /,全职,"
五险一金,节日福利,带薪年假","
工作职责
1、研发NLP基础词句、篇章语法与语义分析算法，包括但不限于分词、词性标注、命名实体识别、依存分析、语义角色标注、情感分析、主题模型等；
2、运用NLP与机器学习算法开发文本挖掘、信息抽取、预测分析、阅读理解等高级功能；
3、能够根据项目需要，运用NLP与机器学习算法进行理财领域相关项目开发，如对话系统、产品推荐、智能投资、知识图谱等，并根据不同的产品属性进行算法的优化；
4、及时跟踪了解NLP以及智能问答、知识图谱应用领域的技术动态与热点，提升公司相关产品与服务的竞争力。
任职要求
1、国内985/211院校或国外知名院校理工科本科及以上毕业；
2、计算机或数学专业，有极强的编程能力，精通Python；
3、熟悉常用机器学习和深度学习模型，熟悉CNN/RNN/LSTM等等模型，熟悉HMM、CRF、SVM等等模型中的一项或多项；
4、熟悉常用NLP模型，熟悉Word2Vec、分词、NER、意图识别、情感分析、主题提取、文本分类、阅读推理等等NLP方法中的一项或多项；","上海 - 浦东新区 - 陆家嘴 - 上海市浦东新区陆家嘴环路1333号平安金融大厦
","陆金所
金融
B轮
国泰君安、腾讯、民生银行(民银国际)(B轮)
2000人以上
http://www.lufax.com"
31,自然语言处理工程师（深圳）,腾讯TEG招聘,23k-31k,/深圳 /,经验3-5年 /,硕士及以上 /,全职,"
福利好 平台大 机遇多 快来吧","
岗位职责：
1、利用自然语言处理技术和机器学习算法对文本数据进行挖掘分析； 
2、基于机器学习和自然语言处理技术，研发聊天机器人解决方案；
招聘要求：
1、全日制硕士以上学历，3年以上自然语言处理相关研发经验；
2、熟练使用Python，具备较强的编码能力，扎实的数据结构和算法功底；
3、熟悉机器学习的基本算法与概念，有Tensorflow、Caffe等深度学习库使用经验者优先；
4、有聊天机器人、文本分类聚类、知识图谱相关项目实际工作经验优先；
5、良好的团队合作精神，较强的沟通能力。","深圳 - 南山区 - 腾讯大厦
","腾讯
社交
上市公司
2000人以上
http://hr.tencent.com"
32,NLP研发工程师,数美互联网事业部招聘,20k-40k,/北京 /,经验1-3年 /,本科及以上 /,全职,"
BAT团队,互联网氛围,七险一金","
工作职责：
——分析处理海量用户文本数据
——对文本数据进行特征抽取
——构建机器学习模型区分用户行为

任职要求：
——计算机或相关专业，具有一年以上自然语言处理相关的工作经验
——熟悉python及相关机器学习工具
——精通统计语言模型和相关机器学习核心算法
——熟练掌握自然语言处理的算法和技术，具有分词、新词发现、实体词抽取、文本分类、舆情分析等相关的项目经验
——熟悉hadoop、spark等分布式平台


【关于数美】www.ishumei.com
  数美（全称北京数美时代科技有限公司）成立于2015年6月，是一家专业的大数据科技公司。数美依托先进的核心AI技术和海量的数据基础，致力于解决多场景欺诈问题，为客户提供专业、可信赖的服务。团队均来自百度、阿里、腾讯、360、小米等顶尖互联网公司，在大数据、人工智能、机器学习、金融风控等领域有着丰富的实践经验。目前，业务已覆盖金融、支付、直播、社交、电商、O2O等为代表的多个行业领域，其中包括中信银行、用钱宝、人人贷、51信用卡、360、小米、58同城、爱奇艺、熊猫直播、花椒、唱吧等知名企业，截止到2017年6月，服务客户突破1000家。作为大数据反欺诈专业品牌，数美将持续挖掘数据价值，为金融机构、互联网企业提供智能、创新的一站式反欺诈综合解决方案

…………………………………………………………………………
了解更多
数美公司介绍
https://www.ishumei.com/aboutUs/introduction.html
数美团队介绍
https://www.ishumei.com/aboutUs/team.html
数美产品介绍
https://www.ishumei.com/product/creditFengkong.html
数美解决方案介绍
https://www.ishumei.com/solution/finance.html","北京 - 朝阳区 - 望京诚盈中心
","数美
企业服务,数据服务
B轮
数美科技获1000万美元A轮融资，顺为资本、清流资本、百度风投、360投资(A轮)
150-500人
http://www.ishumei.com"
